"통계분류","항목","단위","2002 년","2004 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2013 년","2015 년",
"전체","사례수","","1200","1000","1000","1000","1000","1000","1000","","2000","5000",
"전체","일반도서","","72","76.3","75.9","76.7","72.2","71.7","65.4","66.8","71.4","65.3",
"전체","만화","","19","22.6","15.6","16.3","14.2","12.7","9.9","48","","",
"전체","잡지","","43.2","47.6","37.7","41.1","39.6","35.3","29.4","10.8","","",
"전체","읽지 않음","","","","","","","","","","28.6","34.7",
"남자","사례수","","604","500","500","505","503","504","508","","993","2478",
"남자","일반도서","","70","74","78.6","76.8","67.8","73.2","63","66.6","70.3","65.5",
"남자","만화","","21.9","26","18.5","18.8","17.5","15.5","11.6","43.3","","",
"남자","잡지","","36.8","39.2","33.5","35.4","31","29.6","17.1","14.8","","",
"남자","읽지 않음","","","","","","","","","","29.7","34.5",
"여자","사례수","","596","500","500","495","497","496","492","","1007","2522",
"여자","일반도서","","74","78.6","73.1","76.6","76.7","70.2","67.9","67","72.4","65.2",
"여자","만화","","16.1","19.2","12.6","13.7","10.9","9.9","8.1","52.5","","",
"여자","잡지","","49.7","56","42","46.9","48.3","41.1","42.1","7","","",
"여자","읽지 않음","","","","","","","","","","27.6","34.8",
"20대 이하","사례수","","390","332","332","255","244","244","228","","387","",
"20대 이하","일반도서","","85.9","92.2","88.6","86.3","81.1","85.7","82.9","84.1","88.2","",
"20대 이하","만화","","37.9","42.8","32.9","34.5","28.3","31.6","26.3","56","","",
"20대 이하","잡지","","50.5","56.9","45.2","45.9","44.7","39.3","34.6","28.6","","",
"20대 이하","읽지 않음","","","","","","","","","","11.8","",
"19~29세","사례수","","","","","","","","","","","911",
"19~29세","일반도서","","","","","","","","","","","86.6",
"19~29세","만화","","","","","","","","","","","",
"19~29세","잡지","","","","","","","","","","","",
"19~29세","읽지 않음","","","","","","","","","","","13.4",
"30대","사례수","","332","269","269","253","239","239","231","","389","932",
"30대","일반도서","","79.8","82.9","87","84.2","76.6","82","72.3","78.9","82.1","77.1",
"30대","만화","","16.3","23","17","19","16.7","12.1","7.4","54","","",
"30대","잡지","","51.2","54.3","43.8","45.5","44.8","41.8","32.9","15.9","","",
"30대","읽지 않음","","","","","","","","","","17.9","22.9",
"40대","사례수","","220","178","178","238","240","240","240","","425","1030",
"40대","일반도서","","74.1","78.1","74.7","79","77.5","74.2","64.6","71.6","77.4","72.2",
"40대","만화","","8.6","9.6","10","8.8","10.4","7.5","7.1","52.1","","",
"40대","잡지","","46.8","50","36.5","44.5","39.6","39.2","28.3","5.3","","",
"40대","읽지 않음","","","","","","","","","","22.6","27.8",
"50대","사례수","","","","","","","170","186","","385","988",
"50대","일반도서","","","","","","","55.9","55.4","63.8","61.7","60.2",
"50대","만화","","","","","","","1.2","2.7","47.6","","",
"50대","잡지","","","","","","","30","29.6","3.7","","",
"50대","읽지 않음","","","","","","","","","","38.3","39.8",
"50대 이상","사례수","","258","221","221","254","277","","","","","",
"50대 이상","일반도서","","39.1","43","53","57.5","56","","","","","",
"50대 이상","만화","","2.7","2.3","2","2.4","2.9","","","","","",
"50대 이상","잡지","","18.6","23.5","25.2","28.7","30.7","","","","","",
"50대 이상","읽지 않음","","","","","","","","","","","",
"60대 이상","사례수","","","","","","","107","115","","414","1140",
"60대 이상","일반도서","","","","","","","36.4","34.8","33.8","48.4","36.9",
"60대 이상","만화","","","","","","",".9","0","28.9","","",
"60대 이상","잡지","","","","","","","11.2","13.9",".2","","",
"60대 이상","읽지 않음","","","","","","","","","","51.6","63.1",
"중졸 이하","사례수","","155","129","129","89","92","127","110","","286","906",
"중졸 이하","일반도서","","25.2","30.2","31","27","34.8","26.8","29.1","35.3","33.5","30.8",
"중졸 이하","만화","","3.9","3.9","2.6","3.4","3.3",".8","9.1","28.5","","",
"중졸 이하","잡지","","12.9","15.5","15.5","22.5","16.3","11.8","10","3.3","","",
"중졸 이하","읽지 않음","","","","","","","","","","66.5","69.2",
"고졸, 고퇴","사례수","","521","419","419","366","414","394","410","","748","1904",
"고졸, 고퇴","일반도서","","69.3","75.2","67","71.9","62.3","64.7","51","62.7","65","61.9",
"고졸, 고퇴","만화","","18.4","20.3","13.8","13.4","8","11.2","5.1","48.9","","",
"고졸, 고퇴","잡지","","44.1","48.4","35.1","40.2","36.5","35","29.5","7.4","","",
"고졸, 고퇴","읽지 않음","","","","","","","","","","35","38.1",
"대재 이상","사례수","","524","452","452","545","494","479","480","","967","2190",
"대재 이상","일반도서","","88.5","90.5","93.7","88.1","87.4","89.4","86","85.5","87.5","82.6",
"대재 이상","만화","","24","30.1","20.1","20.4","21.5","17.1","14.2","56.2","","",
"대재 이상","잡지","","51.1","56","45","44.8","46.6","41.8","33.8","17.7","","",
"대재 이상","읽지 않음","","","","","","","","","","12.5","17.4",
"경영/관리직","사례수","","","","","","","","","","","",
"경영/관리직","일반도서","","","","","","","","","89.2","","",
"경영/관리직","만화","","","","","","","","","54.1","","",
"경영/관리직","잡지","","","","","","","","","11.8","","",
