"id" "score" "time"
"20178013" 0 NA
"20178016" 0 NA
"20178057" 0 NA
"20172802" 0 NA
"20173001" 0 NA
"20173902" 100 2018-09-26
"20182804" 50 2018-09-21
"20153302" 100 2018-09-10
"20186203" 100 2018-09-30
"20173301" 100 2018-09-22
"20182202" 50 2018-09-20
"20186105" 0 NA
"20155404" 50 2018-09-09
"20173505" 100 2018-09-30
"20165103" 50 2018-10-01
"20154203" 100 2018-09-18
"20185112" 0 NA
"20185114" 100 2018-09-12
"20185214" 50 2018-09-26
"20153808" 0 NA
"20145404" 50 2018-09-09
"20184108" 100 2018-09-30
"20165503" 100 2018-09-18
"20176211" 100 2018-09-29
"20173305" 0 NA
"20185115" 50 2018-09-30
"20183909" 0 NA
"20186217" 100 2018-09-25
"20183912" 0 2018-09-30
"20163006" 100 2018-09-13
"20141111" 100 2018-09-11
"20175121" 100 2018-09-16
"20185224" 50 2018-09-29
"20185225" 50 2018-09-29
"20145217" 100 2018-09-14
"20143112" 50 2018-09-30
"20145220" 100 2018-09-15
"20151206" 100 2018-09-08
"20173310" 0 NA
"20135214" 100 2018-09-30
"20185232" 100 2018-09-29
"20125214" 100 2018-09-30
"20155214" 0 2018-09-09
"20143118" 100 2018-09-30
"20173617" 100 2018-09-22
"20182855" 100 2018-09-29
"20173517" 100 2018-09-25
"20133306" 100 2018-09-11
"20155317" 100 2018-09-06
"20152533" 100 2018-09-08
"20135320" 100 2018-09-12
"20145227" 100 2018-09-30
"20134214" 100 2018-09-11
"20143816" 100 2018-09-30
"20182866" 50 2018-09-18
"20183919" 0 NA
"20143720" 100 2018-09-04
"20186233" 100 2018-09-28
"20143123" 100 2018-09-30
"20155319" 100 2018-09-06
"20175412" 100 2018-09-22
"20121613" 100 2018-09-16
"20181041" 100 2018-09-26
"20185414" 100 2018-09-24
"20185131" 100 2018-09-21
"20144270" 100 2018-09-04
"20154223" 100 2018-09-28
"20173921" 100 2018-09-30
"20182622" 100 2018-09-30
"20186137" 50 2018-09-21
"20186139" 100 2018-09-29
"20183924" 100 2018-09-11
"20186240" 100 2018-09-13
"20152548" 100 2018-09-30
"20181620" 100 2018-09-17
"20163929" 50 2018-09-25
"20165318" 100 2018-09-29
"20157076" 100 2018-09-29
"20154231" 100 2018-09-28
"20173317" 100 2018-09-30
"20176260" 100 2018-09-30
"20145416" 100 2018-09-30
"20144228" 100 2018-09-03
"20182341" 100 2018-09-24
"20172857" 100 2018-09-07
"20135330" 100 2018-09-28
"20184128" 50 2018-09-30
"20173525" 100 2018-09-30
"20173933" 100 2018-09-30
"20123223" 100 2018-09-30
"20173024" 100 2018-09-29
"20185415" 100 2018-09-30
"20173526" 0 NA
"20176264" 100 2018-09-30
"20185142" 0 NA
"20133829" 0 NA
"20172328" 100 2018-09-05
"20163634" 100 2018-09-30
"20181061" 100 2018-09-30
"20171064" 100 2018-09-27
"20183937" 0 NA
"20185150" 100 2018-09-26
"20176268" 100 2018-09-08
"20183941" 100 2018-09-30
"20165323" 50 2018-09-18
"20122761" 100 2018-09-07
"20186154" 100 2018-09-26
"20184136" 50 2018-09-30
"20186156" 100 2018-09-30
"20143141" 0 NA
"20173634" 100 2018-09-30
"20182944" 100 2018-09-26
"20155335" 100 2018-09-08
"20125251" 100 2018-09-29
"20132904" 50 2018-09-27
"20186263" 100 2018-09-29
"20186266" 100 2018-09-05
"20182959" 100 2018-09-30
"20186268" 100 2018-09-27
"20165524" 100 2018-09-18
"20161079" 100 2018-09-17
"20171631" 100 2018-09-23
"20186161" 100 2018-09-28
"20185424" 100 2018-09-07
"20176165" 50 2018-09-30
"20185425" 100 2018-09-15
"20183733" 100 2018-09-30
"20155339" 100 2018-09-04
"20185165" 100 2018-09-30
"20172351" 0 NA
"20186292" 50 2018-09-30
"20185167" 0 NA
"20185297" 0 NA
"20182989" 50 2018-09-09
"20132429" 100 2018-09-24
"20186170" 50 2018-09-21
"20176294" 100 2018-09-04
"20173045" 100 2018-09-08
"20173047" 100 2018-09-04
"20186173" 100 2018-09-10
"20155434" 100 2018-09-30
"20175262" 100 2018-09-29
"20167099" 100 2018-09-09
"20173966" 100 2018-09-30
"20111642" 100 2018-09-30
"20155348" 50 2018-09-05
"20176176" 100 2018-09-30
"20132364" 100 2018-09-09
"20155350" 100 2018-09-18
"20185306" 0 NA
"20173968" 100 2018-09-12
"20173650" 100 2018-09-25
"20101459" 0 NA
