"id" "score" "date_time"
"20178013" 0 NA
"20178016" 0 NA
"20178057" 0 NA
"20172802" 100 2018-10-03 22:19:43
"20173001" 0 NA
"20173902" 100 2018-09-26 21:53:10
"20182804" 100 2018-10-03 00:19:32
"20153302" 100 2018-10-07 23:59:26
"20186203" 100 2018-10-07 20:47:46
"20173301" 100 2018-10-06 00:26:13
"20182202" 100 2018-10-07 17:32:17
"20186105" 100 2018-10-07 23:39:08
"20155404" 100 2018-09-30 19:03:35
"20173505" 100 2018-10-07 16:36:51
"20165103" 50 2018-10-08 00:01:07
"20154203" 100 2018-10-05 17:51:19
"20185112" 100 2018-10-07 23:42:56
"20185114" 50 2018-09-12 23:29:26
"20185214" 0 NA
"20153808" 0 NA
"20145404" 100 2018-10-07 23:50:47
"20184108" 100 2018-10-07 23:59:43
"20165503" 100 2018-10-05 13:42:47
"20176211" 100 2018-10-07 20:27:53
"20173305" 100 2018-10-07 20:04:23
"20185115" 50 2018-10-07 23:55:54
"20183909" 100 2018-09-16 19:24:23
"20186217" 100 2018-09-25 16:13:35
"20183912" 50 2018-10-07 22:50:38
"20163006" 100 2018-10-07 23:37:53
"20141111" 100 2018-09-13 00:54:42
"20175121" 100 2018-09-16 22:22:22
"20185224" 100 2018-10-07 23:57:06
"20185225" 100 2018-10-03 21:16:26
"20145217" 100 2018-10-04 23:47:21
"20143112" 100 2018-10-07 17:25:40
"20145220" 100 2018-09-15 19:33:34
"20151206" 100 2018-09-21 16:02:19
"20173310" 100 2018-10-07 23:55:42
"20135214" 100 2018-10-07 21:18:33
"20185232" 100 2018-10-07 12:29:25
"20125214" 100 2018-10-07 23:43:41
"20155214" 100 2018-10-07 19:45:41
"20143118" 100 2018-10-05 23:39:19
"20173617" 100 2018-10-06 12:19:06
"20182855" 100 2018-10-07 23:18:14
"20173517" 100 2018-10-03 17:01:01
"20133306" 100 2018-09-29 20:01:20
"20155317" 100 2018-09-30 13:32:25
"20152533" 100 2018-10-02 12:53:22
"20135320" 100 2018-09-13 22:18:28
"20145227" 50 2018-10-07 23:43:13
"20134214" 100 2018-10-04 21:30:00
"20143816" 100 2018-10-07 20:59:33
"20182866" 50 2018-09-25 15:49:59
"20183919" 50 2018-10-07 22:45:21
"20143720" 100 2018-09-16 23:31:51
"20186233" 100 2018-10-06 20:31:45
"20143123" 100 2018-10-07 23:35:25
"20155319" 100 2018-09-27 23:22:04
"20175412" 100 2018-10-07 19:01:28
"20121613" 100 2018-10-07 12:24:27
"20181041" 100 2018-09-26 15:53:25
"20185414" 100 2018-10-05 19:10:47
"20185131" 100 2018-10-05 00:50:35
"20144270" 100 2018-09-16 14:30:03
"20154223" 100 2018-10-06 15:18:30
"20173921" 0 NA
"20182622" 100 2018-10-07 18:11:07
"20186137" 100 2018-10-04 22:54:09
"20186139" 100 2018-10-07 23:26:49
"20183924" 100 2018-09-19 01:14:00
"20186240" 100 2018-10-06 21:55:59
"20152548" 0 NA
"20181620" 50 2018-10-04 17:57:17
"20163929" 100 2018-10-07 19:40:24
"20165318" 50 2018-10-08 10:12:36
"20157076" 100 2018-10-07 11:46:17
"20154231" 100 2018-10-05 15:27:11
"20173317" 100 2018-10-07 15:04:10
"20176260" 100 2018-10-07 20:11:02
"20145416" 100 2018-10-07 12:41:45
"20144228" 100 2018-09-12 10:50:48
"20182341" 100 2018-10-07 18:28:00
"20172857" 100 2018-10-04 23:07:59
"20135330" 50 2018-10-07 12:25:21
"20184128" 0 NA
"20173525" 100 2018-10-07 12:23:23
"20173933" 100 2018-10-07 14:13:21
"20123223" 100 2018-10-06 19:35:52
"20173024" 100 2018-10-07 12:51:13
"20185415" 100 2018-10-07 23:58:50
"20173526" 0 NA
"20176264" 100 2018-10-07 19:57:57
"20185142" 100 2018-10-07 23:08:59
"20133829" 100 2018-10-05 22:32:47
"20172328" 100 2018-09-12 15:32:41
"20163634" 100 2018-10-07 21:53:05
"20181061" 100 2018-10-07 16:47:09
"20171064" 100 2018-09-27 20:35:12
"20183937" 0 NA
"20185150" 100 2018-09-28 15:26:12
"20176268" 100 2018-09-16 22:38:40
"20183941" 100 2018-10-07 17:05:11
"20165323" 100 2018-10-07 16:29:42
"20122761" 100 2018-10-07 15:50:04
"20186154" 100 2018-10-02 17:15:35
"20184136" 100 2018-10-07 21:36:31
"20186156" 100 2018-10-07 23:58:06
"20143141" 100 2018-10-07 09:30:23
"20173634" 100 2018-10-07 18:00:36
"20182944" 100 2018-09-26 11:57:37
"20155335" 100 2018-09-27 22:41:26
"20125251" 100 2018-10-05 19:58:08
"20132904" 100 2018-10-06 10:21:30
"20186263" 100 2018-10-03 18:24:41
"20186266" 100 2018-09-12 12:04:29
"20182959" 100 2018-10-07 17:41:55
"20186268" 100 2018-09-27 21:11:47
"20165524" 100 2018-09-30 14:47:39
"20161079" 100 2018-09-20 23:54:07
"20171631" 0 NA
"20186161" 100 2018-10-05 22:41:17
"20185424" 100 2018-10-07 15:57:25
"20176165" 100 2018-10-07 21:51:13
"20185425" 100 2018-09-24 12:13:06
"20183733" 100 2018-10-07 00:00:23
"20155339" 100 2018-09-14 13:41:42
"20185165" 100 2018-10-07 23:48:48
"20172351" 50 2018-10-06 23:09:24
"20186292" 100 2018-10-07 23:53:03
"20185167" 0 NA
"20185297" 100 2018-10-07 23:58:41
"20182989" 100 2018-10-03 16:31:45
"20132429" 100 2018-09-24 14:09:02
"20186170" 0 NA
"20176294" 100 2018-09-14 20:08:55
"20173045" 100 2018-09-12 20:01:36
"20173047" 100 2018-09-12 20:05:19
"20186173" 100 2018-09-28 10:28:42
"20155434" 50 NA
"20175262" 100 2018-09-29 21:14:22
"20167099" 100 2018-10-07 00:28:46
"20173966" 100 2018-10-07 18:56:30
"20111642" 100 2018-10-07 23:44:18
"20155348" 100 2018-09-30 13:25:37
"20176176" 100 2018-10-07 11:14:35
"20132364" 100 2018-09-14 19:51:00
"20155350" 100 2018-10-07 10:36:38
"20185306" 100 2018-10-07 23:19:47
"20173968" 100 2018-09-18 13:36:20
"20173650" 100 2018-10-01 22:40:57
"20101459" 0 NA
